MJD;Magnitude;Error;Facility;Filter;Observer
57546.189;19.11;0.05;Swift;UVW2;Swift
57551.232;19.07;0.06;Swift;UVW2;Swift
57556.824;19.35;0.07;Swift;UVW2;Swift
57571.634;19.92;0.09;Swift;UVW2;Swift
57576.485;20.04;0.1;Swift;UVW2;Swift
57585.937;19.92;0.11;Swift;UVW2;Swift
57592.583;20.22;0.16;Swift;UVW2;Swift
57594.428;19.87;0.06;Swift;UVW2;Swift
57599.095;20.12;0.08;Swift;UVW2;Swift
57607.999;20.3;0.08;Swift;UVW2;Swift
57613.241;20.38;0.07;Swift;UVW2;Swift
57620.542;20.47;0.09;Swift;UVW2;Swift
57551.236;19.25;0.07;Swift;UVM2;Swift
57556.828;19.5;0.07;Swift;UVM2;Swift
57571.637;19.98;0.09;Swift;UVM2;Swift
57576.487;20.07;0.1;Swift;UVM2;Swift
57587.593;20.11;0.11;Swift;UVM2;Swift
57592.586;20.45;0.25;Swift;UVM2;Swift
57594.436;20.06;0.1;Swift;UVM2;Swift
57599.099;20.16;0.16;Swift;UVM2;Swift
57608.002;20.64;0.13;Swift;UVM2;Swift
57613.248;20.55;0.12;Swift;UVM2;Swift
57620.546;20.74;0.15;Swift;UVM2;Swift
57551.23;19.32;0.09;Swift;UVW1;Swift
57556.82;19.5;0.1;Swift;UVW1;Swift
57561.391;19.65;0.16;Swift;UVW1;Swift
57571.63;19.78;0.12;Swift;UVW1;Swift
57576.483;20.32;0.18;Swift;UVW1;Swift
57585.933;19.91;0.17;Swift;UVW1;Swift
57592.581;20.02;0.23;Swift;UVW1;Swift
57594.422;20.5;0.14;Swift;UVW1;Swift
57599.092;20.19;0.13;Swift;UVW1;Swift
57607.997;20.43;0.14;Swift;UVW1;Swift
57613.235;20.43;0.13;Swift;UVW1;Swift
57620.538;20.74;0.19;Swift;UVW1;Swift
57551.231;19.3;0.14;Swift;UVOT-U;Swift
57556.822;19.41;0.15;Swift;UVOT-U;Swift
57571.632;19.95;0.22;Swift;UVOT-U;Swift
57576.484;20.09;0.25;Swift;UVOT-U;Swift
57585.935;19.82;0.22;Swift;UVOT-U;Swift
57587.587;19.82;0.13;Swift;UVOT-U;Swift
57594.425;19.94;0.13;Swift;UVOT-U;Swift
57599.093;20.22;0.19;Swift;UVOT-U;Swift
57607.998;20.17;0.17;Swift;UVOT-U;Swift
57613.238;20.22;0.15;Swift;UVOT-U;Swift
57620.54;20.14;0.2;Swift;UVOT-U;Swift
57537.397;19.486;0.071;P48;g;P48
57540.404;19.615;0.032;P60;g;P60
57541.428;19.592;0.031;P60;g;P60
57544.37;19.464;0.081;P48;g;P48
57547.399;19.724;0.027;P60;g;P60
57548.385;19.626;0.085;P48;g;P48
57548.51;20.119;0.137;LCO;gp;LCO
57552.373;19.673;0.103;P48;g;P48
57554.378;19.959;0.042;P60;g;P60
57555.59;20.579;0.157;LCO;gp;LCO
57558.469;20.192;0.127;P60;g;P60
57565.219;20.165;0.076;P60;g;P60
57566.22;20.284;0.027;P60;g;P60
57574.502;20.918;0.108;LCO;gp;LCO
57581.465;20.931;0.122;LCO;gp;LCO
57583.261;20.611;0.053;P60;g;P60
57585.194;20.749;0.07;P60;g;P60
57587.193;20.699;0.105;P60;g;P60
57587.472;20.612;0.274;LCO;gp;LCO
57593.234;20.736;0.048;P60;g;P60
57595.182;20.771;0.048;P60;g;P60
57595.453;21.31;0.278;LCO;gp;LCO
57597.239;20.883;0.056;P60;g;P60
57599.197;20.875;0.046;P60;g;P60
57601.183;20.947;0.081;P60;g;P60
57605.213;21.041;0.048;P60;g;P60
57607.176;20.995;0.052;P60;g;P60
57609.177;21.011;0.057;P60;g;P60
57611.196;21.079;0.067;P60;g;P60
57613.173;21.038;0.1;P60;g;P60
57614.18;21.261;0.141;P60;g;P60
57615.168;21.221;0.177;P60;g;P60
57616.166;21.111;0.113;P60;g;P60
57617.169;20.903;0.181;P60;g;P60
57618.15;21.329;0.191;P60;g;P60
57619.156;20.976;0.143;P60;g;P60
57621.15;21.16;0.12;P60;g;P60
57625.158;21.203;0.049;P60;g;P60
57631.152;21.218;0.071;P60;g;P60
57633.166;21.297;0.063;P60;g;P60
57635.135;21.356;0.138;P60;g;P60
57639.227;21.413;0.093;P60;g;P60
57646.19;21.328;0.33;P60;g;P60
57656.182;21.536;0.277;P60;g;P60
57540.397;20.045;0.033;P60;r;P60
57541.421;19.972;0.054;P60;r;P60
57547.392;20.09;0.029;P60;r;P60
57548.514;19.999;0.391;LCO;rp;LCO
57551.451;20.162;0.03;P60;r;P60
57554.368;20.235;0.074;P60;r;P60
57558.459;20.404;0.106;P60;r;P60
57559.483;20.401;0.26;P60;r;P60
57565.198;20.527;0.127;P60;r;P60
57566.205;20.661;0.029;P60;r;P60
57569.229;20.711;0.04;P60;r;P60
57574.512;20.543;0.283;LCO;rp;LCO
57581.474;20.671;0.297;LCO;rp;LCO
57583.255;21.02;0.087;P60;r;P60
57585.188;21.149;0.113;P60;r;P60
57587.188;21.025;0.144;P60;r;P60
57587.48;20.58;0.339;LCO;rp;LCO
57593.228;21.063;0.068;P60;r;P60
57595.176;21.241;0.102;P60;r;P60
57595.462;20.603;0.342;LCO;rp;LCO
57597.234;21.213;0.1;P60;r;P60
57599.191;21.086;0.077;P60;r;P60
57605.207;21.28;0.069;P60;r;P60
57607.17;21.38;0.105;P60;r;P60
57609.171;21.317;0.124;P60;r;P60
57611.191;21.267;0.108;P60;r;P60
57613.167;21.377;0.15;P60;r;P60
57614.175;21.32;0.171;P60;r;P60
57616.161;21.284;0.212;P60;r;P60
57617.163;21.155;0.244;P60;r;P60
57621.144;21.398;0.17;P60;r;P60
57625.153;21.358;0.107;P60;r;P60
57629.148;21.478;0.091;P60;r;P60
57631.146;21.474;0.16;P60;r;P60
57633.161;21.464;0.113;P60;r;P60
57637.139;21.65;0.226;P60;r;P60
57639.222;21.634;0.18;P60;r;P60
57640.182;21.489;0.096;P60;r;P60
57646.151;21.64;0.356;P60;r;P60
57656.14;21.896;0.527;P60;r;P60
57540.401;19.901;0.045;P60;i;P60
57541.424;19.827;0.05;P60;i;P60
57547.395;19.891;0.054;P60;i;P60
57548.527;20.046;0.378;LCO;ip;LCO
57551.456;20.041;0.052;P60;i;P60
57554.373;20.063;0.118;P60;i;P60
57555.599;19.796;0.357;LCO;ip;LCO
57558.464;20.171;0.143;P60;i;P60
57565.202;20.408;0.356;P60;i;P60
57574.519;20.586;0.311;LCO;ip;LCO
57581.482;20.642;0.326;LCO;ip;LCO
57583.258;20.633;0.127;P60;i;P60
57585.191;20.615;0.093;P60;i;P60
57587.191;20.881;0.144;P60;i;P60
57587.489;20.537;0.462;LCO;ip;LCO
57593.231;20.829;0.082;P60;i;P60
57595.179;20.879;0.143;P60;i;P60
57595.47;20.747;0.408;LCO;ip;LCO
57597.237;20.769;0.101;P60;i;P60
57599.194;21.0;0.101;P60;i;P60
57605.21;21.116;0.089;P60;i;P60
57607.173;20.975;0.125;P60;i;P60
57609.174;21.109;0.114;P60;i;P60
57611.194;21.012;0.223;P60;i;P60
57613.17;20.974;0.163;P60;i;P60
57616.163;21.03;0.189;P60;i;P60
57617.166;21.165;0.286;P60;i;P60
57625.156;21.086;0.125;P60;i;P60
57631.149;21.146;0.141;P60;i;P60
57633.164;21.111;0.155;P60;i;P60
57639.224;21.417;0.244;P60;i;P60
57646.171;21.199;0.256;P60;i;P60
57656.163;21.213;0.276;P60;i;P60
52047.31022368;19.42383;0.015531674;SDSS;SDSS(r);SDSS
52047.31105295;19.008356;0.016148612;SDSS;SDSS(i);SDSS
52047.31188221;21.836811;0.12776087;SDSS;SDSS(u);SDSS
52047.31271148;18.664286;0.036793455;SDSS;SDSS(z);SDSS
52047.31354074;20.178556;0.019684903;SDSS;SDSS(g);SDSS
52434.40607881;19.429829;0.020582024;SDSS;SDSS(r);SDSS
52434.40690808;19.035366;0.022730349;SDSS;SDSS(i);SDSS
52434.40773734;21.834633;0.21493125;SDSS;SDSS(u);SDSS
52434.40856661;18.699694;0.045266382;SDSS;SDSS(z);SDSS
52434.40939587;20.140947;0.028391216;SDSS;SDSS(g);SDSS
