MJD;Magnitude;Error;Facility;Filter;Observer
52815.2070797;20.276066;0.021975555;SDSS;SDSS(r);SDSS
52815.20790896;19.924734;0.02676848;SDSS;SDSS(i);SDSS
52815.20873823;22.572495;0.21250679;SDSS;SDSS(u);SDSS
52815.20956749;19.596642;0.058457766;SDSS;SDSS(z);SDSS
52815.21039675;21.127636;0.034147643;SDSS;SDSS(g);SDSS
53104.3446372901;20.26075;0.03839987;SDSS;SDSS(r);SDSS
53104.34546655;19.956629;0.038483374;SDSS;SDSS(i);SDSS
53104.34629582;22.32678;0.46387666;SDSS;SDSS(u);SDSS
53104.34712508;19.64457;0.079259366;SDSS;SDSS(z);SDSS
53104.34795435;20.969595;0.07224473;SDSS;SDSS(g);SDSS
53110.33884835;20.294743;0.026307235;SDSS;SDSS(r);SDSS
53110.33967762;19.946665;0.026698261;SDSS;SDSS(i);SDSS
53110.34050688;22.255606;0.19308574;SDSS;SDSS(u);SDSS
53110.34133615;19.698927;0.054792296;SDSS;SDSS(z);SDSS
53110.34216541;21.12614;0.031794097;SDSS;SDSS(g);SDSS
53470.39122;19.89;0.29;CRTS;CRTS(CL);CRTS
53470.39848;19.89;0.29;CRTS;CRTS(CL);CRTS
53470.40577;19.87;0.29;CRTS;CRTS(CL);CRTS
53470.41305;20.06;0.32;CRTS;CRTS(CL);CRTS
53480.33053;19.2;0.19;CRTS;CRTS(CL);CRTS
53480.34803;19.59;0.23;CRTS;CRTS(CL);CRTS
53496.27684;19.5;0.22;CRTS;CRTS(CL);CRTS
53496.28521;20.56;0.39;CRTS;CRTS(CL);CRTS
53496.29359;19.58;0.23;CRTS;CRTS(CL);CRTS
53496.302;19.23;0.2;CRTS;CRTS(CL);CRTS
53506.35758;19.22;0.21;CRTS;CRTS(CL);CRTS
53506.36528;20.5;0.42;CRTS;CRTS(CL);CRTS
53506.373;19.68;0.27;CRTS;CRTS(CL);CRTS
53550.21815;19.72;0.25;CRTS;CRTS(CL);CRTS
53551.26779;20.02;0.29;CRTS;CRTS(CL);CRTS
53551.27535;19.65;0.24;CRTS;CRTS(CL);CRTS
53551.2829;19.22;0.2;CRTS;CRTS(CL);CRTS
53551.29047;19.61;0.24;CRTS;CRTS(CL);CRTS
53560.22516;19.42;0.21;CRTS;CRTS(CL);CRTS
53560.233;19.88;0.27;CRTS;CRTS(CL);CRTS
53560.24085;19.37;0.21;CRTS;CRTS(CL);CRTS
