MJD;Magnitude;Error;Facility;Filter;Observer
53642.48452;18.4;0.14;CRTS;CRTS(CL);CRTS
53669.50012;18.49;0.13;CRTS;CRTS(CL);CRTS
53684.44108644;19.782394;0.024380265;SDSS;SDSS(r);SDSS
53684.44191571;19.30075;0.025535237;SDSS;SDSS(i);SDSS
53684.44274497;22.418125;0.3511603;SDSS;SDSS(u);SDSS
53684.44357424;19.132944;0.058023065;SDSS;SDSS(z);SDSS
53684.4444035;20.504498;0.03134084;SDSS;SDSS(g);SDSS
53686.42818401;19.560274;1.3164532;SDSS;SDSS(r);SDSS
53686.42901327;19.065657;0.8719886;SDSS;SDSS(i);SDSS
53686.42984254;22.167555;17.634047;SDSS;SDSS(u);SDSS
53686.4306718;18.996489;4.8449554;SDSS;SDSS(z);SDSS
53686.43150107;20.319658;3.3022401;SDSS;SDSS(g);SDSS
53688.48833;18.77;0.15;CRTS;CRTS(CL);CRTS
53700.47308;19.28;0.27;CRTS;CRTS(CL);CRTS
53726.30581;18.65;0.14;CRTS;CRTS(CL);CRTS
53743.35791;18.43;0.13;CRTS;CRTS(CL);CRTS
53753.27031;18.78;0.15;CRTS;CRTS(CL);CRTS
53753.27883;18.71;0.15;CRTS;CRTS(CL);CRTS
53753.28739;18.93;0.16;CRTS;CRTS(CL);CRTS
53753.29594;18.82;0.15;CRTS;CRTS(CL);CRTS
53766.30933216;19.803885;0.019455682;SDSS;SDSS(r);SDSS
53766.31016142;19.605543;0.018875143;SDSS;SDSS(i);SDSS
53766.3109906901;22.86385;0.37431568;SDSS;SDSS(u);SDSS
53766.31181995;18.983164;0.044379573;SDSS;SDSS(z);SDSS
53766.31264922;20.720882;0.024301512;SDSS;SDSS(g);SDSS
53773.25667;18.56;0.15;CRTS;CRTS(CL);CRTS
53773.26313;18.74;0.16;CRTS;CRTS(CL);CRTS
53818.14067;18.64;0.14;CRTS;CRTS(CL);CRTS
53858.13802;18.78;0.16;CRTS;CRTS(CL);CRTS
53858.14336;18.77;0.16;CRTS;CRTS(CL);CRTS
53858.15407;18.74;0.16;CRTS;CRTS(CL);CRTS
54027.43045;18.71;0.14;CRTS;CRTS(CL);CRTS
54027.43966;18.4;0.12;CRTS;CRTS(CL);CRTS
54027.44892;18.53;0.13;CRTS;CRTS(CL);CRTS
54027.45814;18.26;0.12;CRTS;CRTS(CL);CRTS
54039.41745;18.1;0.14;CRTS;CRTS(CL);CRTS
54039.42182;18.38;0.15;CRTS;CRTS(CL);CRTS
54039.42615;18.58;0.16;CRTS;CRTS(CL);CRTS
