MJD;Magnitude;Error;Facility;Filter;Observer
52263.3574775;20.244455;0.028531065;SDSS;SDSS(r);SDSS
52263.35830676;19.849277;0.025676072;SDSS;SDSS(i);SDSS
52263.35913603;22.855564;0.29664475;SDSS;SDSS(u);SDSS
52263.35996529;19.553984;0.06372661;SDSS;SDSS(z);SDSS
52263.36079456;21.165884;0.03591629;SDSS;SDSS(g);SDSS
52650.3187776;18.917;0.477;LINEAR;LINEAR(CL);LINEAR
52650.3331116;19.248;0.599;LINEAR;LINEAR(CL);LINEAR
52693.2698636;19.388;0.599;LINEAR;LINEAR(CL);LINEAR
52693.332879;19.274;0.612;LINEAR;LINEAR(CL);LINEAR
52721.2411203;19.017;0.455;LINEAR;LINEAR(CL);LINEAR
52721.2538548;19.053;0.47;LINEAR;LINEAR(CL);LINEAR
52721.2666533;19.333;0.609;LINEAR;LINEAR(CL);LINEAR
52721.2794223;19.109;0.512;LINEAR;LINEAR(CL);LINEAR
52750.1830983;18.743;0.416;LINEAR;LINEAR(CL);LINEAR
52750.1938565;18.896;0.459;LINEAR;LINEAR(CL);LINEAR
52750.2046553;18.898;0.487;LINEAR;LINEAR(CL);LINEAR
52750.215408;19.035;0.531;LINEAR;LINEAR(CL);LINEAR
52750.2261835;18.319;0.292;LINEAR;LINEAR(CL);LINEAR
52781.1786561;19.079;0.649;LINEAR;LINEAR(CL);LINEAR
52977.4372579;19.025;0.493;LINEAR;LINEAR(CL);LINEAR
52978.4255925;18.505;0.413;LINEAR;LINEAR(CL);LINEAR
52978.4382273;18.874;0.549;LINEAR;LINEAR(CL);LINEAR
53065.2274735;18.912;0.502;LINEAR;LINEAR(CL);LINEAR
53065.2513714;18.909;0.487;LINEAR;LINEAR(CL);LINEAR
53065.2751782;19.067;0.564;LINEAR;LINEAR(CL);LINEAR
53094.2100534;18.722;0.447;LINEAR;LINEAR(CL);LINEAR
53094.2201653;18.747;0.446;LINEAR;LINEAR(CL);LINEAR
53108.1973452;19.14;0.607;LINEAR;LINEAR(CL);LINEAR
53108.2199028;19.257;0.67;LINEAR;LINEAR(CL);LINEAR
53108.231204;19.026;0.538;LINEAR;LINEAR(CL);LINEAR
53134.1937204;18.586;0.424;LINEAR;LINEAR(CL);LINEAR
53134.2126994;18.591;0.546;LINEAR;LINEAR(CL);LINEAR
53303.4390277;18.131;0.398;LINEAR;LINEAR(CL);LINEAR
