MJD;Magnitude;Error;Facility;Filter;Observer
50820.398099999875;14.13;0.068;2MASS;2MASS(K);2MASS
50820.398099999875;14.943;0.05;2MASS;2MASS(J);2MASS
50820.398099999875;14.378;0.064;2MASS;2MASS(H);2MASS
52994.2843326;17.992916;0.012978541;SDSS;SDSS(r);SDSS
52994.2843326;17.99338;0.012939306;SDSS;SDSS(r);SDSS
52994.2843326;17.99338;0.012958347;SDSS;SDSS(r);SDSS
52994.28516186;17.543358;0.013264326;SDSS;SDSS(i);SDSS
52994.28516186;17.544603;0.013267334;SDSS;SDSS(i);SDSS
52994.28516186;17.544603;0.013285066;SDSS;SDSS(i);SDSS
52994.28599113;20.460524;0.053234708;SDSS;SDSS(u);SDSS
52994.28599113;20.484516;0.055102862;SDSS;SDSS(u);SDSS
52994.28599113;20.472122;0.05350322;SDSS;SDSS(u);SDSS
52994.2868203901;17.101135;0.019277405;SDSS;SDSS(z);SDSS
52994.2868203901;17.10417;0.019272344;SDSS;SDSS(z);SDSS
52994.2868203901;17.101133;0.019274496;SDSS;SDSS(z);SDSS
52994.28764966;18.705696;0.015166;SDSS;SDSS(g);SDSS
52994.28764966;18.7057;0.015292782;SDSS;SDSS(g);SDSS
52994.28764966;18.703575;0.015155299;SDSS;SDSS(g);SDSS
53081.25886582;18.187069;0.013805036;SDSS;SDSS(r);SDSS
53081.25886582;18.186996;0.013813028;SDSS;SDSS(r);SDSS
53081.25886582;18.186996;0.01380644;SDSS;SDSS(r);SDSS
53081.25969509;17.78865;0.0149489;SDSS;SDSS(i);SDSS
53081.25969509;17.788044;0.0149560915;SDSS;SDSS(i);SDSS
53081.25969509;17.788044;0.014948724;SDSS;SDSS(i);SDSS
53081.26052435;20.55754;0.05183701;SDSS;SDSS(u);SDSS
53081.26052435;20.55754;0.050514508;SDSS;SDSS(u);SDSS
53081.26052435;20.54925;0.05150234;SDSS;SDSS(u);SDSS
53081.26135362;17.397385;0.016706623;SDSS;SDSS(z);SDSS
53081.26135362;17.396578;0.01669577;SDSS;SDSS(z);SDSS
