MJD;Magnitude;Error;Facility;Filter;Observer
55295.2554367;13.893;0.054;ALLWISE;WISE(W1);ALLWISE
55295.2554367;14.393;0.207;ALLWISE;WISE(W2);ALLWISE
55295.2554367;14.342;0.101;ALLWISE;WISE(W1);ALLWISE
55295.2554367;15.251;0.542;ALLWISE;WISE(W2);ALLWISE
55295.3877408;14.412;0.116;ALLWISE;WISE(W1);ALLWISE
55295.3877408;14.079;0.067;ALLWISE;WISE(W1);ALLWISE
55295.3877408;14.346;0.23;ALLWISE;WISE(W2);ALLWISE
55295.3877408;14.05;0.149;ALLWISE;WISE(W2);ALLWISE
55295.3878682;13.538;0.282;ALLWISE;WISE(W2);ALLWISE
55295.3878682;14.285;0.124;ALLWISE;WISE(W1);ALLWISE
55295.3878682;14.098;0.07;ALLWISE;WISE(W1);ALLWISE
55295.3878682;13.49;0.174;ALLWISE;WISE(W2);ALLWISE
55295.5201723;14.108;0.06;ALLWISE;WISE(W1);ALLWISE
55295.5201723;14.164;0.182;ALLWISE;WISE(W2);ALLWISE
55295.5201723;14.403;0.128;ALLWISE;WISE(W1);ALLWISE
55295.5201723;14.457;0.284;ALLWISE;WISE(W2);ALLWISE
55295.6524764;14.068;0.062;ALLWISE;WISE(W1);ALLWISE
55295.6524764;14.041;0.165;ALLWISE;WISE(W2);ALLWISE
55295.6524764;14.331;0.102;ALLWISE;WISE(W1);ALLWISE
55295.6524764;14.61;0.297;ALLWISE;WISE(W2);ALLWISE
55295.7185648;13.993;0.16;ALLWISE;WISE(W2);ALLWISE
55295.7185648;14.37;0.126;ALLWISE;WISE(W1);ALLWISE
55295.7185648;14.029;0.069;ALLWISE;WISE(W1);ALLWISE
55295.7185648;14.384;0.287;ALLWISE;WISE(W2);ALLWISE
55295.7847804;13.787;0.121;ALLWISE;WISE(W2);ALLWISE
55295.7847804;13.876;0.054;ALLWISE;WISE(W1);ALLWISE
55295.7847804;14.133;0.192;ALLWISE;WISE(W2);ALLWISE
55295.7847804;14.302;0.095;ALLWISE;WISE(W1);ALLWISE
55295.8508688;14.312;0.193;ALLWISE;WISE(W2);ALLWISE
55295.8508688;14.275;0.093;ALLWISE;WISE(W1);ALLWISE
55295.8508688;14.732;0.34;ALLWISE;WISE(W2);ALLWISE
55295.8508688;13.917;0.053;ALLWISE;WISE(W1);ALLWISE
55295.9170845;14.565;0.123;ALLWISE;WISE(W1);ALLWISE
55295.9170845;14.377;0.247;ALLWISE;WISE(W2);ALLWISE
55295.9170845;14.193;0.181;ALLWISE;WISE(W2);ALLWISE
55295.9170845;14.162;0.064;ALLWISE;WISE(W1);ALLWISE
55295.983173;14.208;0.093;ALLWISE;WISE(W1);ALLWISE
55295.983173;14.769;0.338;ALLWISE;WISE(W2);ALLWISE
55295.983173;13.949;0.057;ALLWISE;WISE(W1);ALLWISE
55295.983173;14.093;0.153;ALLWISE;WISE(W2);ALLWISE
55296.1154771;13.791;0.048;ALLWISE;WISE(W1);ALLWISE
55296.1154771;14.713;0.321;ALLWISE;WISE(W2);ALLWISE
55296.1154771;14.133;0.093;ALLWISE;WISE(W1);ALLWISE
55296.1154771;14.264;0.166;ALLWISE;WISE(W2);ALLWISE
55296.1156045;14.192;0.162;ALLWISE;WISE(W2);ALLWISE
55296.1156045;13.963;0.055;ALLWISE;WISE(W1);ALLWISE
55296.1156045;14.67;0.296;ALLWISE;WISE(W2);ALLWISE
55296.1156045;14.293;0.101;ALLWISE;WISE(W1);ALLWISE
55296.2479085;14.29;0.112;ALLWISE;WISE(W1);ALLWISE
55296.2479085;14.158;0.189;ALLWISE;WISE(W2);ALLWISE
55296.2479085;13.731;0.114;ALLWISE;WISE(W2);ALLWISE
55296.2479085;13.948;0.063;ALLWISE;WISE(W1);ALLWISE
55475.2081954;14.235;0.24;ALLWISE;WISE(W2);ALLWISE
55475.2081954;14.201;0.063;ALLWISE;WISE(W1);ALLWISE
55475.2081954;14.531;0.078;ALLWISE;WISE(W1);ALLWISE
55475.2083227;13.897;0.119;ALLWISE;WISE(W2);ALLWISE
55475.2083227;14.515;0.259;ALLWISE;WISE(W2);ALLWISE
55475.2083227;14.456;0.097;ALLWISE;WISE(W1);ALLWISE
55475.2083227;13.981;0.056;ALLWISE;WISE(W1);ALLWISE
55475.3404994;14.252;0.068;ALLWISE;WISE(W1);ALLWISE
55475.3404994;14.733;0.246;ALLWISE;WISE(W2);ALLWISE
55475.3404994;14.236;0.165;ALLWISE;WISE(W2);ALLWISE
55475.3404994;14.709;0.116;ALLWISE;WISE(W1);ALLWISE
55475.4728034;14.113;0.151;ALLWISE;WISE(W2);ALLWISE
55475.4728034;14.019;0.051;ALLWISE;WISE(W1);ALLWISE
55475.4728034;14.839;0.27;ALLWISE;WISE(W2);ALLWISE
55475.4728034;14.371;0.071;ALLWISE;WISE(W1);ALLWISE
55475.5388916;14.016;0.052;ALLWISE;WISE(W1);ALLWISE
55475.5388916;14.86;0.329;ALLWISE;WISE(W2);ALLWISE
55475.5388916;14.36;0.067;ALLWISE;WISE(W1);ALLWISE
55475.5388916;13.971;0.138;ALLWISE;WISE(W2);ALLWISE
55475.6051073;14.108;0.189;ALLWISE;WISE(W2);ALLWISE
55475.6051073;14.784;0.258;ALLWISE;WISE(W2);ALLWISE
55475.6051073;14.458;0.076;ALLWISE;WISE(W1);ALLWISE
55475.6051073;14.075;0.063;ALLWISE;WISE(W1);ALLWISE
55475.6711956;13.983;0.154;ALLWISE;WISE(W2);ALLWISE
55475.6711956;14.519;0.199;ALLWISE;WISE(W2);ALLWISE
55475.6711956;14.398;0.068;ALLWISE;WISE(W1);ALLWISE
55475.6711956;14.017;0.05;ALLWISE;WISE(W1);ALLWISE
55475.737284;13.86;0.117;ALLWISE;WISE(W2);ALLWISE
55475.737284;14.02;0.053;ALLWISE;WISE(W1);ALLWISE
55475.737284;14.332;0.068;ALLWISE;WISE(W1);ALLWISE
55475.737284;14.29;0.17;ALLWISE;WISE(W2);ALLWISE
55475.8034996;14.196;0.145;ALLWISE;WISE(W2);ALLWISE
55475.8034996;14.249;0.067;ALLWISE;WISE(W1);ALLWISE
55475.8034996;14.028;0.062;ALLWISE;WISE(W1);ALLWISE
55475.8034996;13.776;0.126;ALLWISE;WISE(W2);ALLWISE
55475.9356763;14.428;0.187;ALLWISE;WISE(W2);ALLWISE
55475.9356763;14.068;0.137;ALLWISE;WISE(W2);ALLWISE
55475.9356763;13.859;0.047;ALLWISE;WISE(W1);ALLWISE
55475.9356763;14.421;0.073;ALLWISE;WISE(W1);ALLWISE
55475.9358037;14.755;0.253;ALLWISE;WISE(W2);ALLWISE
55475.9358037;14.068;0.137;ALLWISE;WISE(W2);ALLWISE
55475.9358037;13.849;0.048;ALLWISE;WISE(W1);ALLWISE
55475.9358037;14.324;0.068;ALLWISE;WISE(W1);ALLWISE
55476.0679804;13.992;0.131;ALLWISE;WISE(W2);ALLWISE
55476.0679804;14.129;0.067;ALLWISE;WISE(W1);ALLWISE
55476.0679804;14.757;0.26;ALLWISE;WISE(W2);ALLWISE
55476.0679804;14.494;0.085;ALLWISE;WISE(W1);ALLWISE
55476.2002843;14.358;0.081;ALLWISE;WISE(W1);ALLWISE
55476.2002843;13.929;0.128;ALLWISE;WISE(W2);ALLWISE
55476.2002843;13.991;0.053;ALLWISE;WISE(W1);ALLWISE
55476.2002843;14.521;0.227;ALLWISE;WISE(W2);ALLWISE
55908.9005487;18.9956;0.005981;PS1;PS1(r);PS1
55961.6198956;19.5685;0.009397;PS1;PS1(g);PS1
56005.6174589;18.5434;0.007307;PS1;PS1(z);PS1
56400.1342266;18.5378;0.003767;PS1;PS1(i);PS1
56939.89981858;14.456;0.086;NEOWISE;WISE(W1);NEOWISE
56939.89981858;9.7;0.022;NEOWISE;WISE(W2);NEOWISE
56939.89994594;13.676;0.189;NEOWISE;WISE(W2);NEOWISE
56939.89994594;13.901;0.05;NEOWISE;WISE(W1);NEOWISE
56940.03135862;13.988;0.061;NEOWISE;WISE(W1);NEOWISE
56940.03135862;13.904;0.148;NEOWISE;WISE(W2);NEOWISE
56940.16289866;13.919;0.145;NEOWISE;WISE(W2);NEOWISE
56940.16289866;14.006;0.063;NEOWISE;WISE(W1);NEOWISE
56940.22873234;13.951;0.049;NEOWISE;WISE(W1);NEOWISE
56940.22873234;13.853;0.134;NEOWISE;WISE(W2);NEOWISE
56940.29443865;13.996;0.053;NEOWISE;WISE(W1);NEOWISE
56940.29443865;14.214;0.267;NEOWISE;WISE(W2);NEOWISE
56940.36014501;13.931;0.051;NEOWISE;WISE(W1);NEOWISE
56940.36014501;13.951;0.189;NEOWISE;WISE(W2);NEOWISE
56940.36027237;13.903;0.142;NEOWISE;WISE(W2);NEOWISE
56940.36027237;14.099;0.065;NEOWISE;WISE(W1);NEOWISE
56940.42597874;13.949;0.052;NEOWISE;WISE(W1);NEOWISE
56940.42597874;13.583;0.11;NEOWISE;WISE(W2);NEOWISE
56940.49168505;13.978;0.076;NEOWISE;WISE(W1);NEOWISE
56940.49168505;13.897;0.146;NEOWISE;WISE(W2);NEOWISE
56940.62322509;13.854;0.142;NEOWISE;WISE(W2);NEOWISE
56940.62322509;13.993;0.052;NEOWISE;WISE(W1);NEOWISE
56940.75476522;13.977;0.053;NEOWISE;WISE(W1);NEOWISE
56940.75476522;13.721;0.118;NEOWISE;WISE(W2);NEOWISE
57119.37995792;14.103;0.059;NEOWISE;WISE(W1);NEOWISE
57119.37995792;14.096;0.198;NEOWISE;WISE(W2);NEOWISE
57119.51124347;14.414;0.31;NEOWISE;WISE(W2);NEOWISE
57119.51124347;13.919;0.053;NEOWISE;WISE(W1);NEOWISE
