MJD;Magnitude;Error;Facility;Filter;Observer
51675.325999999885;14.034;0.079;2MASS;2MASS(K);2MASS
51675.325999999885;15.147;0.067;2MASS;2MASS(J);2MASS
51675.325999999885;14.54;0.091;2MASS;2MASS(H);2MASS
53464.4733;16.4;0.07;CRTS;CRTS(CL);CRTS
53464.48247;16.38;0.07;CRTS;CRTS(CL);CRTS
53464.49164;16.38;0.07;CRTS;CRTS(CL);CRTS
53464.50084;16.35;0.07;CRTS;CRTS(CL);CRTS
53494.39799;16.36;0.07;CRTS;CRTS(CL);CRTS
53494.40758;16.4;0.07;CRTS;CRTS(CL);CRTS
53494.41722;16.41;0.07;CRTS;CRTS(CL);CRTS
53494.42682;16.4;0.07;CRTS;CRTS(CL);CRTS
53509.30698;16.29;0.07;CRTS;CRTS(CL);CRTS
53509.31461;16.29;0.07;CRTS;CRTS(CL);CRTS
53509.32226;16.37;0.07;CRTS;CRTS(CL);CRTS
53509.32997;16.2;0.07;CRTS;CRTS(CL);CRTS
53521.3732;16.39;0.07;CRTS;CRTS(CL);CRTS
53521.38183;16.35;0.07;CRTS;CRTS(CL);CRTS
53521.39049;16.44;0.07;CRTS;CRTS(CL);CRTS
53521.39913;16.45;0.07;CRTS;CRTS(CL);CRTS
53532.31934;16.36;0.07;CRTS;CRTS(CL);CRTS
53532.32811;16.43;0.07;CRTS;CRTS(CL);CRTS
53532.33688;16.41;0.07;CRTS;CRTS(CL);CRTS
53532.34571;16.37;0.07;CRTS;CRTS(CL);CRTS
53556.26351;16.38;0.07;CRTS;CRTS(CL);CRTS
53556.27174;16.45;0.07;CRTS;CRTS(CL);CRTS
53556.28;16.31;0.07;CRTS;CRTS(CL);CRTS
53556.28821;16.43;0.07;CRTS;CRTS(CL);CRTS
53563.29448;16.35;0.08;CRTS;CRTS(CL);CRTS
53563.30092;16.41;0.08;CRTS;CRTS(CL);CRTS
53563.30739;16.33;0.08;CRTS;CRTS(CL);CRTS
53563.31383;16.36;0.08;CRTS;CRTS(CL);CRTS
53628.11904;16.33;0.07;CRTS;CRTS(CL);CRTS
53628.12599;16.36;0.07;CRTS;CRTS(CL);CRTS
53628.13292;16.22;0.07;CRTS;CRTS(CL);CRTS
53628.13987;16.41;0.08;CRTS;CRTS(CL);CRTS
53637.10671;16.48;0.09;CRTS;CRTS(CL);CRTS
53637.11046;16.31;0.11;CRTS;CRTS(CL);CRTS
53637.11423;16.54;0.13;CRTS;CRTS(CL);CRTS
53637.11801;16.42;0.09;CRTS;CRTS(CL);CRTS
53638.12084;16.36;0.08;CRTS;CRTS(CL);CRTS
