MJD;Magnitude;Error;Facility;Filter;Observer
53554.62098;16.32;0.09;CRTS;CRTS(CL);CRTS
53554.62704;16.27;0.09;CRTS;CRTS(CL);CRTS
53554.63313;16.35;0.09;CRTS;CRTS(CL);CRTS
53554.63917;16.23;0.09;CRTS;CRTS(CL);CRTS
53579.73138;16.14;0.1;CRTS;CRTS(CL);CRTS
53579.74299;16.22;0.11;CRTS;CRTS(CL);CRTS
53579.75458;16.35;0.12;CRTS;CRTS(CL);CRTS
53579.76619;16.3;0.12;CRTS;CRTS(CL);CRTS
53610.58565;15.93;0.11;CRTS;CRTS(CL);CRTS
53610.59401;16.1;0.12;CRTS;CRTS(CL);CRTS
53610.60233;15.96;0.11;CRTS;CRTS(CL);CRTS
53610.61065;15.97;0.11;CRTS;CRTS(CL);CRTS
53644.48056;16.26;0.13;CRTS;CRTS(CL);CRTS
53644.48926;16.2;0.13;CRTS;CRTS(CL);CRTS
53644.49795;16.28;0.13;CRTS;CRTS(CL);CRTS
53644.50629;16.15;0.13;CRTS;CRTS(CL);CRTS
53676.44609;16.35;0.13;CRTS;CRTS(CL);CRTS
53676.45476;16.36;0.13;CRTS;CRTS(CL);CRTS
53676.46345;16.21;0.13;CRTS;CRTS(CL);CRTS
53676.47207;16.35;0.13;CRTS;CRTS(CL);CRTS
53693.4822;16.31;0.13;CRTS;CRTS(CL);CRTS
53693.48994;16.31;0.13;CRTS;CRTS(CL);CRTS
53693.49787;16.33;0.13;CRTS;CRTS(CL);CRTS
53693.50562;16.24;0.13;CRTS;CRTS(CL);CRTS
53728.46184;15.84;0.12;CRTS;CRTS(CL);CRTS
53913.79165;16.26;0.11;CRTS;CRTS(CL);CRTS
53913.79948;16.28;0.11;CRTS;CRTS(CL);CRTS
53913.80727;16.39;0.12;CRTS;CRTS(CL);CRTS
53913.81524;16.21;0.11;CRTS;CRTS(CL);CRTS
53934.75426;16.31;0.1;CRTS;CRTS(CL);CRTS
53934.76682;16.26;0.1;CRTS;CRTS(CL);CRTS
53934.77935;16.2;0.1;CRTS;CRTS(CL);CRTS
53934.79189;16.42;0.11;CRTS;CRTS(CL);CRTS
53961.57847;16.34;0.1;CRTS;CRTS(CL);CRTS
53961.59279;16.25;0.1;CRTS;CRTS(CL);CRTS
53961.60714;16.32;0.1;CRTS;CRTS(CL);CRTS
53961.62165;16.27;0.1;CRTS;CRTS(CL);CRTS
53969.6153;16.26;0.11;CRTS;CRTS(CL);CRTS
53969.62399;16.35;0.12;CRTS;CRTS(CL);CRTS
53969.63271;16.22;0.11;CRTS;CRTS(CL);CRTS
53969.64136;16.19;0.11;CRTS;CRTS(CL);CRTS
53978.55059;16.15;0.11;CRTS;CRTS(CL);CRTS
53978.56032;16.35;0.12;CRTS;CRTS(CL);CRTS
53978.57012;16.27;0.11;CRTS;CRTS(CL);CRTS
53978.57997;16.26;0.11;CRTS;CRTS(CL);CRTS
53986.58035;16.43;0.12;CRTS;CRTS(CL);CRTS
53986.58895;16.46;0.12;CRTS;CRTS(CL);CRTS
53986.59753;16.12;0.11;CRTS;CRTS(CL);CRTS
53986.60614;16.55;0.13;CRTS;CRTS(CL);CRTS
53993.53908;16.36;0.12;CRTS;CRTS(CL);CRTS
53993.54786;16.28;0.11;CRTS;CRTS(CL);CRTS
