MJD;Magnitude;Error;Facility;Filter;Observer
51875.29342828;18.970304;0.02919034;SDSS;SDSS(r);SDSS
51875.29425755;18.685707;0.024550075;SDSS;SDSS(i);SDSS
51875.29508681;20.74029;0.07901878;SDSS;SDSS(u);SDSS
51875.29591608;18.367632;0.04134589;SDSS;SDSS(z);SDSS
51875.2967453401;19.638882;0.022858607;SDSS;SDSS(g);SDSS
51933.32577681;18.989037;0.016383225;SDSS;SDSS(r);SDSS
51933.32660607;18.68777;0.015678702;SDSS;SDSS(i);SDSS
51933.32743534;20.951296;0.05990044;SDSS;SDSS(u);SDSS
51933.3282646;18.42582;0.032761738;SDSS;SDSS(z);SDSS
51933.32909387;19.674349;0.01906173;SDSS;SDSS(g);SDSS
51934.21953323;18.967459;0.031689133;SDSS;SDSS(r);SDSS
51934.2203625;18.321459;0.02728188;SDSS;SDSS(i);SDSS
51934.2211917599;20.714193;0.08065112;SDSS;SDSS(u);SDSS
51934.22202103;18.20238;0.03700624;SDSS;SDSS(z);SDSS
51934.2228502901;19.552675;0.02005154;SDSS;SDSS(g);SDSS
51935.35600202;19.365843;0.016520508;SDSS;SDSS(r);SDSS
51935.3568312901;18.989628;0.020357542;SDSS;SDSS(i);SDSS
51935.35766055;21.146194;0.07153501;SDSS;SDSS(u);SDSS
51935.35848982;18.754347;0.04186252;SDSS;SDSS(z);SDSS
51935.35931908;19.911484;0.021180108;SDSS;SDSS(g);SDSS
53479.18182;17.31;0.09;CRTS;CRTS(CL);CRTS
53479.18722;17.45;0.1;CRTS;CRTS(CL);CRTS
53479.19261;17.2;0.09;CRTS;CRTS(CL);CRTS
53479.19798;17.44;0.09;CRTS;CRTS(CL);CRTS
53646.46975;17.4;0.1;CRTS;CRTS(CL);CRTS
53646.47794;17.46;0.1;CRTS;CRTS(CL);CRTS
53646.48614;17.44;0.1;CRTS;CRTS(CL);CRTS
53646.49433;17.56;0.1;CRTS;CRTS(CL);CRTS
53671.38869;17.51;0.1;CRTS;CRTS(CL);CRTS
53671.39462;17.44;0.1;CRTS;CRTS(CL);CRTS
53671.40058;17.45;0.09;CRTS;CRTS(CL);CRTS
53671.40651;17.43;0.09;CRTS;CRTS(CL);CRTS
53677.42499;17.43;0.1;CRTS;CRTS(CL);CRTS
53677.43279;17.36;0.12;CRTS;CRTS(CL);CRTS
