MJD;Magnitude;Error;Facility;Filter;Observer
51207.54400000023;15.65;0.181;2MASS;2MASS(K);2MASS
51207.54400000023;16.477;0.13;2MASS;2MASS(J);2MASS
51207.54400000023;15.906;0.161;2MASS;2MASS(H);2MASS
52666.4707714;17.474;0.148;LINEAR;LINEAR(CL);LINEAR
52666.485231;17.8;0.179;LINEAR;LINEAR(CL);LINEAR
52666.4996853;17.544;0.139;LINEAR;LINEAR(CL);LINEAR
52666.5142204;17.741;0.191;LINEAR;LINEAR(CL);LINEAR
52666.5286916;17.6;0.161;LINEAR;LINEAR(CL);LINEAR
52680.4986372;17.578;0.149;LINEAR;LINEAR(CL);LINEAR
52680.5133474;17.718;0.181;LINEAR;LINEAR(CL);LINEAR
52680.5280593;17.624;0.155;LINEAR;LINEAR(CL);LINEAR
52698.4004285;17.847;0.207;LINEAR;LINEAR(CL);LINEAR
52698.4142439;17.766;0.168;LINEAR;LINEAR(CL);LINEAR
52698.429613;17.801;0.178;LINEAR;LINEAR(CL);LINEAR
52698.4433043;17.71;0.165;LINEAR;LINEAR(CL);LINEAR
52712.3780801;17.609;0.189;LINEAR;LINEAR(CL);LINEAR
52712.3912665;17.526;0.17;LINEAR;LINEAR(CL);LINEAR
52712.4044899;17.655;0.185;LINEAR;LINEAR(CL);LINEAR
52712.4180015;17.68;0.183;LINEAR;LINEAR(CL);LINEAR
52712.4312484;17.633;0.172;LINEAR;LINEAR(CL);LINEAR
52725.4452454;17.628;0.155;LINEAR;LINEAR(CL);LINEAR
52725.4456042;17.476;0.175;LINEAR;LINEAR(CL);LINEAR
52725.4572638;17.64;0.16;LINEAR;LINEAR(CL);LINEAR
52725.4576224;17.362;0.157;LINEAR;LINEAR(CL);LINEAR
52725.4698708;17.658;0.163;LINEAR;LINEAR(CL);LINEAR
52725.4702307;17.456;0.17;LINEAR;LINEAR(CL);LINEAR
52725.4820217;17.466;0.135;LINEAR;LINEAR(CL);LINEAR
52725.4823816;17.8;0.251;LINEAR;LINEAR(CL);LINEAR
52754.3213498;17.656;0.146;LINEAR;LINEAR(CL);LINEAR
52754.333302;17.602;0.139;LINEAR;LINEAR(CL);LINEAR
52754.3452807;17.555;0.131;LINEAR;LINEAR(CL);LINEAR
52754.35722;17.792;0.165;LINEAR;LINEAR(CL);LINEAR
52754.3692247;17.676;0.148;LINEAR;LINEAR(CL);LINEAR
52820.2222524;17.609;0.179;LINEAR;LINEAR(CL);LINEAR
52820.2321713;17.748;0.203;LINEAR;LINEAR(CL);LINEAR
52820.2421773;17.814;0.216;LINEAR;LINEAR(CL);LINEAR
52820.2521292;17.827;0.215;LINEAR;LINEAR(CL);LINEAR
52820.2620145;17.6;0.183;LINEAR;LINEAR(CL);LINEAR
52825.2204107;17.683;0.292;LINEAR;LINEAR(CL);LINEAR
52825.2305166;17.833;0.277;LINEAR;LINEAR(CL);LINEAR
52825.240628;17.793;0.277;LINEAR;LINEAR(CL);LINEAR
52825.2506816;18.03;0.335;LINEAR;LINEAR(CL);LINEAR
52825.2612859;17.895;0.292;LINEAR;LINEAR(CL);LINEAR
52849.1607315;17.644;0.179;LINEAR;LINEAR(CL);LINEAR
52849.1713402;17.693;0.191;LINEAR;LINEAR(CL);LINEAR
52849.1817417;17.609;0.178;LINEAR;LINEAR(CL);LINEAR
52849.1936247;17.761;0.213;LINEAR;LINEAR(CL);LINEAR
52849.2039042;17.744;0.215;LINEAR;LINEAR(CL);LINEAR
52886.1220583;17.419;0.272;LINEAR;LINEAR(CL);LINEAR
52886.1348427;17.693;0.387;LINEAR;LINEAR(CL);LINEAR
53034.4763596;17.507;0.17;LINEAR;LINEAR(CL);LINEAR
53034.5002453;17.581;0.172;LINEAR;LINEAR(CL);LINEAR
53052.3983396;17.621;0.152;LINEAR;LINEAR(CL);LINEAR
53052.4102579;17.671;0.146;LINEAR;LINEAR(CL);LINEAR
53052.4219858;17.673;0.142;LINEAR;LINEAR(CL);LINEAR
53052.4338116;17.738;0.148;LINEAR;LINEAR(CL);LINEAR
53052.4461141;17.508;0.124;LINEAR;LINEAR(CL);LINEAR
53065.3925581;17.713;0.163;LINEAR;LINEAR(CL);LINEAR
53065.4038226;17.766;0.168;LINEAR;LINEAR(CL);LINEAR
53065.4150946;17.686;0.144;LINEAR;LINEAR(CL);LINEAR
53065.4265323;17.689;0.139;LINEAR;LINEAR(CL);LINEAR
53065.4379928;17.576;0.198;LINEAR;LINEAR(CL);LINEAR
53079.3519753;17.572;0.147;LINEAR;LINEAR(CL);LINEAR
53079.3634213;17.742;0.175;LINEAR;LINEAR(CL);LINEAR
53079.3751651;17.567;0.147;LINEAR;LINEAR(CL);LINEAR
53093.3325985;17.541;0.098;LINEAR;LINEAR(CL);LINEAR
53093.343163;17.651;0.105;LINEAR;LINEAR(CL);LINEAR
53093.3534105;17.596;0.096;LINEAR;LINEAR(CL);LINEAR
53093.3638695;17.58;0.094;LINEAR;LINEAR(CL);LINEAR
