MJD;Magnitude;Error;Facility;Filter;Observer
50984.314900000114;16.868;0.156;2MASS;2MASS(J);2MASS
50984.314900000114;15.792;0.13;2MASS;2MASS(H);2MASS
53524.36507;17.96;0.11;CRTS;CRTS(CL);CRTS
53524.37297;17.94;0.11;CRTS;CRTS(CL);CRTS
53524.38187;17.9;0.11;CRTS;CRTS(CL);CRTS
53524.39084;17.93;0.11;CRTS;CRTS(CL);CRTS
53669.11824;17.99;0.11;CRTS;CRTS(CL);CRTS
53669.12472;17.9;0.11;CRTS;CRTS(CL);CRTS
54586.41898;17.79;0.1;CRTS;CRTS(CL);CRTS
54586.4246;17.63;0.1;CRTS;CRTS(CL);CRTS
54586.43024;17.79;0.1;CRTS;CRTS(CL);CRTS
54586.43587;17.97;0.11;CRTS;CRTS(CL);CRTS
55104.20038;17.84;0.13;CRTS;CRTS(CL);CRTS
55104.20579;17.9;0.13;CRTS;CRTS(CL);CRTS
55104.21122;17.83;0.13;CRTS;CRTS(CL);CRTS
55104.21659;17.88;0.13;CRTS;CRTS(CL);CRTS
55304.9016754;15.006;0.278;ALLWISE;WISE(W2);ALLWISE
55304.9016754;14.824;0.092;ALLWISE;WISE(W1);ALLWISE
55304.9016754;14.823;0.092;ALLWISE;WISE(W1);ALLWISE
55304.9016754;15.008;0.346;ALLWISE;WISE(W2);ALLWISE
55305.0338522;14.962;0.099;ALLWISE;WISE(W1);ALLWISE
55305.0338522;14.639;0.209;ALLWISE;WISE(W2);ALLWISE
55305.0338522;14.671;0.215;ALLWISE;WISE(W2);ALLWISE
55305.0338522;14.872;0.091;ALLWISE;WISE(W1);ALLWISE
55305.1661564;14.558;0.213;ALLWISE;WISE(W2);ALLWISE
55305.1661564;14.895;0.097;ALLWISE;WISE(W1);ALLWISE
55305.1661564;14.907;0.098;ALLWISE;WISE(W1);ALLWISE
55305.1661564;14.567;0.21;ALLWISE;WISE(W2);ALLWISE
55305.2984612;15.108;0.292;ALLWISE;WISE(W2);ALLWISE
55305.2984612;14.83;0.103;ALLWISE;WISE(W1);ALLWISE
55305.2984612;15.17;0.309;ALLWISE;WISE(W2);ALLWISE
55305.2984612;14.844;0.104;ALLWISE;WISE(W1);ALLWISE
55305.2985885;14.833;0.084;ALLWISE;WISE(W1);ALLWISE
55305.2985885;14.698;0.211;ALLWISE;WISE(W2);ALLWISE
55305.2985885;14.608;0.21;ALLWISE;WISE(W2);ALLWISE
55305.2985885;14.867;0.087;ALLWISE;WISE(W1);ALLWISE
55305.3646769;15.11;0.32;ALLWISE;WISE(W2);ALLWISE
55305.3646769;15.011;0.122;ALLWISE;WISE(W1);ALLWISE
55305.3646769;15.114;0.321;ALLWISE;WISE(W2);ALLWISE
55305.3646769;15.016;0.103;ALLWISE;WISE(W1);ALLWISE
55305.4307653;14.613;0.194;ALLWISE;WISE(W2);ALLWISE
55305.4307653;14.629;0.197;ALLWISE;WISE(W2);ALLWISE
55305.4307653;14.839;0.086;ALLWISE;WISE(W1);ALLWISE
55305.4307653;14.887;0.09;ALLWISE;WISE(W1);ALLWISE
55305.4308927;15.21;0.37;ALLWISE;WISE(W2);ALLWISE
55305.4308927;14.966;0.1;ALLWISE;WISE(W1);ALLWISE
55305.4308927;15.237;0.36;ALLWISE;WISE(W2);ALLWISE
55305.4308927;14.968;0.095;ALLWISE;WISE(W1);ALLWISE
55305.4969811;15.045;0.101;ALLWISE;WISE(W1);ALLWISE
55305.4969811;14.516;0.209;ALLWISE;WISE(W2);ALLWISE
55305.4969811;14.499;0.205;ALLWISE;WISE(W2);ALLWISE
55305.4969811;15.047;0.102;ALLWISE;WISE(W1);ALLWISE
55305.5631969;14.664;0.202;ALLWISE;WISE(W2);ALLWISE
55305.5631969;14.927;0.09;ALLWISE;WISE(W1);ALLWISE
55305.5631969;14.932;0.095;ALLWISE;WISE(W1);ALLWISE
55305.5631969;14.692;0.208;ALLWISE;WISE(W2);ALLWISE
55305.6292853;15.02;0.328;ALLWISE;WISE(W2);ALLWISE
55305.6292853;14.81;0.082;ALLWISE;WISE(W1);ALLWISE
55305.6292853;15.028;0.33;ALLWISE;WISE(W2);ALLWISE
55305.6292853;14.881;0.092;ALLWISE;WISE(W1);ALLWISE
55305.6955011;14.887;0.086;ALLWISE;WISE(W1);ALLWISE
55305.6955011;14.707;0.315;ALLWISE;WISE(W2);ALLWISE
55305.6955011;14.885;0.086;ALLWISE;WISE(W1);ALLWISE
55305.6955011;14.65;0.302;ALLWISE;WISE(W2);ALLWISE
55305.7615895;14.312;0.157;ALLWISE;WISE(W2);ALLWISE
55305.7615895;14.858;0.095;ALLWISE;WISE(W1);ALLWISE
55305.7615895;14.31;0.178;ALLWISE;WISE(W2);ALLWISE
55305.7615895;14.732;0.08;ALLWISE;WISE(W1);ALLWISE
55305.8278052;14.439;0.225;ALLWISE;WISE(W2);ALLWISE
